"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD14",0,0.590396421440284,0.649,0.541,0,"1","CD14"
"SMIM4",0,0.258592792708186,0.956,0.93,0,"1","SMIM4"
"CD63",0,0.207533950385261,1,1,0,"1","CD63"
"TREM2",0,0.201287734487239,0.952,0.825,0,"1","TREM2"
"SQLE",0,-0.209416792923968,0.378,0.572,0,"1","SQLE"
"MT-CYB",0,-0.212819219096507,1,1,0,"1","MT-CYB"
"FDFT1",0,-0.215363574217434,0.582,0.715,0,"1","FDFT1"
"ASPM",0,-0.226211984418813,0.012,0.104,0,"1","ASPM"
"FADS1",0,-0.227845241499004,0.555,0.688,0,"1","FADS1"
"CKS1B",0,-0.228617348039213,0.39,0.486,0,"1","CKS1B"
"CKB",0,-0.264976572519242,0.564,0.692,0,"1","CKB"
"CDK1",0,-0.268448523615351,0.048,0.15,0,"1","CDK1"
"FDPS",0,-0.272475492027981,0.74,0.814,0,"1","FDPS"
"SCD",0,-0.277237921836567,0.721,0.833,0,"1","SCD"
"UBE2C",0,-0.281012289992377,0.019,0.109,0,"1","UBE2C"
"TPX2",0,-0.282153061481542,0.081,0.188,0,"1","TPX2"
"ACAT2",0,-0.292438810398797,0.489,0.642,0,"1","ACAT2"
"TYMS",0,-0.324701771284898,0.054,0.163,0,"1","TYMS"
"CD1E",0,-0.418635635005431,0.289,0.457,0,"1","CD1E"
"CD207",0,-0.427375882208553,0.071,0.216,0,"1","CD207"
"CD1C",0,-0.431826427999136,0.517,0.658,0,"1","CD1C"
"TUBA1B",0,-0.434510051153348,0.995,0.996,0,"1","TUBA1B"
"MKI67",0,-0.43662474499203,0.029,0.132,0,"1","MKI67"
"TOP2A",0,-0.511758150920561,0.177,0.29,0,"1","TOP2A"
"HMGB2",1.5669113817521e-304,-0.384254587981415,0.488,0.538,3.76011724279051e-300,"1","HMGB2"
"MMP9",6.16658472033098e-304,0.416073245743306,0.399,0.326,1.47979533533782e-299,"1","MMP9"
"CENPF",2.6299830223252e-293,-0.450815896988184,0.127,0.219,6.31117025867377e-289,"1","CENPF"
