gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	celltype	condition	supercluster
Plxna4	0	1.003523792	0.667	0.405	0	1	microglia	homeostasis	
P3h2	0	0.845314192	0.622	0.395	0	1	microglia	homeostasis	
Prkca	0	0.764534804	0.682	0.457	0	1	microglia	homeostasis	
Bank1	0	0.905712417	0.484	0.267	0	1	microglia	homeostasis	
Itga9	0	0.912048267	0.521	0.309	0	1	microglia	homeostasis	
Nav2	0	0.965450466	0.984	0.776	0	1	microglia	homeostasis	
Prkce	0	0.97879921	0.515	0.314	0	1	microglia	homeostasis	
Fhit	0	0.809462915	0.586	0.388	0	1	microglia	homeostasis	
Nos1ap	0	0.998718723	0.403	0.229	0	1	microglia	homeostasis	
Zfhx3	0	0.758001807	0.967	0.801	0	1	microglia	homeostasis	
Whrn	0	0.942932718	0.374	0.215	0	1	microglia	homeostasis	
Gab1	0	0.978249672	0.378	0.22	0	1	microglia	homeostasis	
Rtn4rl1	0	0.927323024	0.385	0.23	0	1	microglia	homeostasis	
Sdk1	0	0.911752502	0.349	0.21	0	1	microglia	homeostasis	
Dlc1	0	0.930784669	0.314	0.18	0	1	microglia	homeostasis	
Myo18b	0	1.538810072	0.207	0.074	0	1	microglia	homeostasis	
Ppm1l	0	0.937700711	0.305	0.178	0	1	microglia	homeostasis	
Mgll	0	0.955608257	0.234	0.126	0	1	microglia	homeostasis	
Khdrbs3	0	1.008751363	0.212	0.112	0	1	microglia	homeostasis	
Ifitm10	0	0.75240396	0.246	0.151	0	1	microglia	homeostasis	
Tyrobp	8.41E-270	2.874611582	0.875	0.377	4.79E-265	2	microglia	homeostasis	
Cst3	5.63E-267	2.386304311	0.998	0.885	3.20E-262	2	microglia	homeostasis	
Tmsb4x	2.97E-253	2.647971448	0.937	0.534	1.69E-248	2	microglia	homeostasis	
Fau	1.85E-236	3.152207362	0.56	0.131	1.05E-231	2	microglia	homeostasis	
Fth1	5.99E-212	2.467216749	0.883	0.473	3.41E-207	2	microglia	homeostasis	
Sod1	2.19E-200	4.214733504	0.303	0.045	1.25E-195	2	microglia	homeostasis	
Fcer1g	1.32E-192	2.43136743	0.825	0.424	7.50E-188	2	microglia	homeostasis	
Cd52	6.81E-179	2.987959513	0.486	0.12	3.88E-174	2	microglia	homeostasis	
Tpt1	3.45E-167	2.733038115	0.54	0.162	1.96E-162	2	microglia	homeostasis	
B2m	5.29E-147	2.155406012	0.747	0.368	3.01E-142	2	microglia	homeostasis	
Tmsb10	4.96E-136	2.937622949	0.319	0.066	2.82E-131	2	microglia	homeostasis	
Gng5	9.30E-104	3.036387999	0.285	0.067	5.29E-99	2	microglia	homeostasis	
Ftl1	9.67E-83	2.30244872	0.471	0.197	5.50E-78	2	microglia	homeostasis	
Sh3bgrl3	3.12E-69	2.440844546	0.319	0.107	1.77E-64	2	microglia	homeostasis	
Atp5e	5.08E-64	2.55537088	0.233	0.064	2.89E-59	2	microglia	homeostasis	
Gpx1	2.63E-57	2.4421575	0.273	0.091	1.50E-52	2	microglia	homeostasis	
Cd63	1.66E-55	2.485017341	0.35	0.147	9.44E-51	2	microglia	homeostasis	
Tmem176a	1.01E-46	2.441487855	0.262	0.097	5.77E-42	2	microglia	homeostasis	
Serf2	2.97E-46	2.153604605	0.307	0.127	1.69E-41	2	microglia	homeostasis	
Eef1b2	2.60E-43	2.314995109	0.229	0.08	1.48E-38	2	microglia	homeostasis	
Rad51b	0	3.014260988	0.756	0.156	0	3	microglia	homeostasis	
Ccl12	0	2.970121473	0.494	0.085	0	3	microglia	homeostasis	
Fau	0	2.292851686	0.49	0.129	0	3	microglia	homeostasis	
Uty	0	6.220644963	0.282	0.004	0	3	microglia	homeostasis	
C4b	0	3.557416405	0.28	0.026	0	3	microglia	homeostasis	
Apoe	3.78E-296	1.223389209	0.866	0.525	2.15E-291	3	microglia	homeostasis	
Atp8a1	1.85E-280	1.248601793	0.902	0.634	1.05E-275	3	microglia	homeostasis	
Gapdh	5.36E-193	1.768094477	0.394	0.135	3.05E-188	3	microglia	homeostasis	
Fcgr2b	1.42E-188	1.67846473	0.468	0.187	8.07E-184	3	microglia	homeostasis	
Cd300lf	3.77E-126	1.355647287	0.296	0.102	2.14E-121	3	microglia	homeostasis	
Ildr2	1.44E-119	1.771696303	0.244	0.08	8.20E-115	3	microglia	homeostasis	
Ntpcr	2.15E-113	1.261610744	0.478	0.244	1.23E-108	3	microglia	homeostasis	
Xdh	1.36E-105	1.312117815	0.226	0.073	7.74E-101	3	microglia	homeostasis	
Nova1	3.56E-103	1.554147115	0.298	0.119	2.03E-98	3	microglia	homeostasis	
Crybb1	1.49E-88	1.477634326	0.296	0.127	8.50E-84	3	microglia	homeostasis	
Syt1	5.18E-79	1.327388814	0.235	0.091	2.95E-74	3	microglia	homeostasis	
Liph	3.07E-64	1.341940226	0.23	0.099	1.75E-59	3	microglia	homeostasis	
Spint1	4.49E-62	1.426723122	0.211	0.089	2.55E-57	3	microglia	homeostasis	
Gas6	1.52E-60	1.233684309	0.243	0.11	8.65E-56	3	microglia	homeostasis	
Hspa8	7.13E-56	1.338725936	0.204	0.089	4.06E-51	3	microglia	homeostasis	
Ccl12	0	4.436074941	0.813	0.086	0	4	microglia	homeostasis	
Rad51b	0	3.052487883	0.808	0.159	0	4	microglia	homeostasis	
Iigp1	0	4.645532375	0.667	0.046	0	4	microglia	homeostasis	
Spon1	0	3.527533038	0.421	0.037	0	4	microglia	homeostasis	
C4b	0	4.118537696	0.409	0.027	0	4	microglia	homeostasis	
Gbp2	0	3.623842803	0.284	0.023	0	4	microglia	homeostasis	
Tgtp2	0	4.858085617	0.263	0.011	0	4	microglia	homeostasis	
Uty	0	5.463283355	0.241	0.006	0	4	microglia	homeostasis	
Hcar2	0	4.273810418	0.21	0.013	0	4	microglia	homeostasis	
Gbp5	1.92E-305	3.141285531	0.371	0.045	1.09E-300	4	microglia	homeostasis	
Cd74	6.03E-292	2.394915416	0.568	0.107	3.43E-287	4	microglia	homeostasis	
Nlrc5	6.30E-253	2.310483865	0.596	0.129	3.58E-248	4	microglia	homeostasis	
Gbp4	8.12E-240	3.256020632	0.253	0.027	4.62E-235	4	microglia	homeostasis	
Fcgr4	1.15E-220	3.272600652	0.26	0.031	6.57E-216	4	microglia	homeostasis	
Stat1	8.51E-175	2.269028474	0.482	0.115	4.84E-170	4	microglia	homeostasis	
Gbp7	1.19E-139	2.239951222	0.393	0.093	6.80E-135	4	microglia	homeostasis	
Gvin3	4.87E-127	2.302509091	0.305	0.063	2.77E-122	4	microglia	homeostasis	
Gbp8	5.44E-122	2.545073101	0.248	0.045	3.09E-117	4	microglia	homeostasis	
Irf1	4.88E-105	2.206936064	0.282	0.063	2.78E-100	4	microglia	homeostasis	
Naaa	8.80E-100	2.657969264	0.203	0.037	5.01E-95	4	microglia	homeostasis	
Sp100	2.09E-86	1.261065459	0.528	0.175	1.19E-81	5	microglia	non-homeostasis	
Rnf213	6.17E-79	1.26722735	0.598	0.233	3.51E-74	5	microglia	non-homeostasis	
Eif2ak2	3.99E-72	1.501539607	0.467	0.166	2.27E-67	5	microglia	non-homeostasis	
Trim30a	4.59E-71	1.173132279	0.689	0.322	2.61E-66	5	microglia	non-homeostasis	
Trim30d	1.99E-68	1.322240777	0.522	0.202	1.13E-63	5	microglia	non-homeostasis	
Slfn8	7.42E-64	1.372642614	0.47	0.175	4.22E-59	5	microglia	non-homeostasis	
